Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
91,Exit short,2020-01-28 18:00,Long,3965.75,1,19793.75,-37,-0.19,1.5,0.01,-44.75,-0.23,-238.25,-0.02
91,Entry short,2020-01-28 16:00,Short,3958.75,1,19793.75,-37,-0.19,1.5,0.01,-44.75,-0.23,-238.25,-0.02
92,Exit long,2020-01-28 19:30,Short,3956.25,1,19828.75,-49.5,-0.25,1.5,0.01,-48.5,-0.24,-287.75,-0.03
92,Entry long,2020-01-28 18:00,Long,3965.75,1,19828.75,-49.5,-0.25,1.5,0.01,-48.5,-0.24,-287.75,-0.03
93,Exit short,2020-01-28 20:30,Long,3966.25,1,19781.25,-52,-0.26,0,0.00,-56,-0.28,-339.75,-0.03
93,Entry short,2020-01-28 19:30,Short,3956.25,1,19781.25,-52,-0.26,0,0.00,-56,-0.28,-339.75,-0.03
94,Exit long,2020-01-29 02:15,Short,3966.75,1,19831.25,0.5,0.00,37.75,0.19,-4.75,-0.02,-339.25,-0.03
94,Entry long,2020-01-28 20:30,Long,3966.25,1,19831.25,0.5,0.00,37.75,0.19,-4.75,-0.02,-339.25,-0.03
95,Exit short,2020-01-29 03:30,Long,3971.75,1,19833.75,-27,-0.14,10.25,0.05,-29.75,-0.15,-366.25,-0.04
95,Entry short,2020-01-29 02:15,Short,3966.75,1,19833.75,-27,-0.14,10.25,0.05,-29.75,-0.15,-366.25,-0.04
96,Exit long,2020-01-29 04:30,Short,3965.75,1,19858.75,-32,-0.16,6.5,0.03,-37.25,-0.19,-398.25,-0.04
96,Entry long,2020-01-29 03:30,Long,3971.75,1,19858.75,-32,-0.16,6.5,0.03,-37.25,-0.19,-398.25,-0.04
97,Exit short,2020-01-29 06:45,Long,3972,1,19828.75,-33.25,-0.17,4,0.02,-34.75,-0.18,-431.5,-0.04
97,Entry short,2020-01-29 04:30,Short,3965.75,1,19828.75,-33.25,-0.17,4,0.02,-34.75,-0.18,-431.5,-0.04
98,Exit long,2020-01-29 08:45,Short,3969,1,19860,-17,-0.09,15.25,0.08,-18.5,-0.09,-448.5,-0.04
98,Entry long,2020-01-29 06:45,Long,3972,1,19860,-17,-0.09,15.25,0.08,-18.5,-0.09,-448.5,-0.04
99,Exit short,2020-01-29 11:00,Long,3968,1,19845,3,0.02,76.5,0.39,-28.5,-0.14,-445.5,-0.04
99,Entry short,2020-01-29 08:45,Short,3969,1,19845,3,0.02,76.5,0.39,-28.5,-0.14,-445.5,-0.04
100,Exit long,2020-01-29 15:15,Short,3960.25,1,19840,-40.75,-0.21,39,0.20,-41,-0.21,-486.25,-0.05
100,Entry long,2020-01-29 11:00,Long,3968,1,19840,-40.75,-0.21,39,0.20,-41,-0.21,-486.25,-0.05
